,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
374,Arroyo,40,BO,1566855872,59,-11.08,-66.08,89.6,4.7
375,Wattegama,95,LK,1566855873,85,7.35,80.68,71.65,4.54
376,Flin Flon,90,CA,1566855874,77,54.77,-101.88,59.0,9.17
377,Chumikan,0,RU,1566855876,85,54.72,135.31,49.33,10.33
378,Bela pod Bezdezem,0,CZ,1566855877,60,50.5,14.8,75.99,9.17
379,Beloha,0,MG,1566855878,63,-25.17,45.06,65.53,3.4
380,Lerwick,90,GB,1566855879,100,60.15,-1.15,53.6,2.24
381,Dakar,40,SN,1566855880,88,14.69,-17.45,80.6,12.77
382,Kahului,40,US,1566855595,69,20.89,-156.47,82.99,18.34
383,Doha,0,QA,1566855785,70,25.29,51.53,93.2,2.24
384,Mpongwe,37,ZM,1566855884,45,-13.51,28.16,70.21,8.05
385,Alice Town,100,BS,1566855885,76,25.72,-79.3,84.97,15.73
386,Savannakhet,100,TH,1566855886,97,16.57,104.76,73.99,7.07
387,Tevaitoa,84,PF,1566855887,69,-16.78,-151.5,78.67,9.46
388,Chapleau,90,CA,1566855888,49,47.85,-83.4,71.6,10.29
389,Zhangye,94,CN,1566855890,54,38.94,100.46,63.19,1.92
390,Yokadouma,100,CM,1566855891,98,3.52,15.05,67.33,2.24
391,Laguna,20,BZ,1566855892,70,16.17,-88.94,91.4,11.41
392,Oranjemund,0,ZA,1566855893,81,-28.55,16.43,55.81,19.95
393,Alice Springs,0,AU,1566855895,55,-23.7,133.88,39.2,7.63
394,Kenai,90,US,1566855625,52,60.55,-151.26,64.4,4.7
395,Jambi,34,ID,1566855897,92,-1.6,103.62,72.55,1.57
396,Itoigawa,100,JP,1566855898,100,37.02,137.87,68.0,4.7
397,Klaeng,100,TH,1566855899,77,12.78,101.65,82.99,9.46
398,Clyde River,75,CA,1566855900,93,70.47,-68.59,42.8,11.41
399,Dolinsk,20,RU,1566855902,100,47.32,142.8,48.2,4.23
400,Tessalit,89,ML,1566855903,40,20.2,1.01,91.63,9.48
401,Kjollefjord,75,NO,1566855904,100,70.95,27.35,50.0,1.12
402,Kidal,70,ML,1566855906,47,18.44,1.41,88.93,7.23
403,Pangnirtung,90,CA,1566855907,87,66.15,-65.72,48.2,4.7
404,Mahajanga,0,MG,1566855908,53,-15.72,46.32,77.0,9.17
405,Quime,24,BO,1566855909,47,-16.98,-67.22,46.63,7.96
406,Isangel,20,VU,1566855910,78,-19.55,169.27,73.4,2.24
407,Naron,20,ES,1566855912,88,43.52,-8.15,66.99,8.05
408,Praia,0,BR,1566855913,46,-20.25,-43.81,71.6,12.75
409,San Ramon,40,NI,1566855914,51,12.92,-85.84,80.6,4.7
410,Carnot,100,CF,1566855915,93,4.94,15.87,67.33,1.72
411,Fortuna,20,US,1566855917,56,40.6,-124.16,96.01,12.75
412,Ballina,90,IE,1566855918,93,54.11,-9.15,60.01,11.41
413,Maunabo,1,PR,1566855919,66,18.01,-65.9,88.0,9.17
414,La Romana,40,DO,1566855920,70,18.43,-68.97,89.6,12.75
415,Coihaique,40,CL,1566855921,52,-45.58,-72.07,44.6,6.93
416,Muravlenko,100,RU,1566855923,77,63.79,74.5,42.49,13.65
417,Kruisfontein,44,ZA,1566855924,78,-34.0,24.73,52.21,11.61
418,Mogadishu,28,SO,1566855925,79,2.04,45.34,75.25,14.12
419,Havoysund,90,NO,1566855926,93,71.0,24.66,50.0,5.82
420,Idappadi,90,IN,1566855927,94,9.71,76.71,75.2,11.41
421,Waipawa,97,NZ,1566855929,87,-39.94,176.59,48.0,3.0
422,Perth,0,AU,1566855927,61,-31.95,115.86,52.0,10.29
423,Namtsy,0,RU,1566855931,81,62.72,129.66,50.0,6.71
424,Momil,40,CO,1566855932,56,9.24,-75.68,95.0,9.35
425,Matay,0,EG,1566855933,37,28.42,30.79,83.71,11.86
426,Taksimo,95,RU,1566855934,89,56.36,114.84,53.65,6.53
427,Camabatela,81,AO,1566855936,67,-8.19,15.37,71.11,2.19
428,La Palma,72,CO,1566855937,37,5.36,-74.39,90.37,4.14
429,Ushtobe,0,KZ,1566855938,25,45.25,77.98,73.45,6.98
430,Bahia Blanca,100,AR,1566855940,55,-38.72,-62.27,63.37,15.39
431,Luau,0,CD,1566855941,45,-10.7,22.23,69.67,3.47
432,Kisangani,100,CD,1566855942,95,0.52,25.21,68.41,0.81
433,San Quintin,72,PH,1566855943,89,17.54,120.52,73.63,4.79
434,Coromandel,34,BR,1566855944,37,-18.47,-47.2,75.61,6.29
435,Griffith,0,AU,1566855946,92,-34.29,146.06,33.8,4.68
436,Novosheshminsk,100,RU,1566855947,81,55.06,51.22,50.59,6.31
437,Sao Jose da Coroa Grande,5,BR,1566855948,93,-8.9,-35.15,70.03,5.77
438,Rumford,1,US,1566855949,46,44.55,-70.55,75.99,9.17
439,Presidencia Roque Saenz Pena,0,AR,1566855951,62,-26.79,-60.44,78.13,9.91
440,Maracaju,98,BR,1566855952,37,-21.61,-55.17,78.67,6.46
441,Katangli,0,RU,1566855953,90,51.71,143.23,54.73,12.21
442,Tarauaca,69,BR,1566855954,40,-8.16,-70.77,92.35,2.13
443,Kalemie,0,CD,1566855955,52,-5.95,29.2,66.97,0.49
444,Tura,100,RU,1566855957,89,64.27,100.22,48.43,4.21
445,Muborak,0,UZ,1566855958,14,39.25,65.15,76.51,10.69
446,Karasjok,40,NO,1566855959,100,69.47,25.52,50.0,11.41
447,Kushiro,86,JP,1566855960,92,43.11,144.15,57.07,3.8
448,Igarka,100,RU,1566855961,91,67.47,86.57,47.35,10.58
449,Nokia,0,FI,1566855963,93,61.48,23.51,57.99,1.12
450,Beruwala,100,LK,1566855964,79,6.48,79.98,81.73,13.87
451,Tsiroanomandidy,7,MG,1566855965,47,-18.77,46.05,62.11,0.87
452,Portland,20,US,1566855941,46,43.66,-70.25,75.2,8.05
453,Gat,75,SN,1566855967,83,14.69,-16.54,84.2,6.93
454,Talakan,100,RU,1566855969,93,50.29,130.28,58.69,8.55
455,Buraydah,0,SA,1566855970,22,26.33,43.97,91.4,3.36
456,Iralaya,40,HN,1566855971,62,15.0,-83.23,89.6,9.17
457,Broome,0,GB,1566855973,68,52.47,1.45,73.4,5.82
458,Jardim,100,BR,1566855974,32,-21.48,-56.15,79.03,2.59
459,Lydenburg,0,ZA,1566855975,22,-25.1,30.46,57.07,2.46
460,Kyzyl-Suu,47,KG,1566855976,53,42.34,78.0,66.61,5.03
461,Umm Lajj,0,SA,1566855977,67,25.02,37.27,88.39,11.99
462,Cairns,74,AU,1566855803,87,-16.92,145.77,61.0,2.24
463,Uchiza,59,PE,1566855980,67,-8.46,-76.46,76.51,0.22
464,Jalu,0,LY,1566855981,52,29.03,21.55,82.27,15.97
465,Vostok,0,RU,1566855982,87,46.45,135.83,53.29,4.0
466,Armidale,0,AU,1566855984,84,-30.51,151.67,46.0,1.99
467,Lagos,40,NG,1566855756,88,6.46,3.39,77.0,4.7
468,Ostersund,0,SE,1566855986,67,63.18,14.64,62.6,10.29
469,Stokmarknes,75,NO,1566855987,93,68.56,14.91,55.4,10.29
470,Peniche,90,PT,1566855989,93,39.36,-9.38,69.8,8.05
471,Sarakhs,0,TM,1566855990,22,36.54,61.16,75.2,4.7
472,Eureka,1,US,1566855883,53,40.8,-124.16,96.01,6.93
473,Sinnamary,0,GF,1566855992,77,5.38,-52.96,82.81,21.61
474,Imbituba,75,BR,1566855993,77,-28.24,-48.67,66.2,6.93
475,Haines Junction,59,CA,1566855995,59,60.75,-137.51,49.15,5.82
476,Manga,40,PK,1566855996,74,31.31,74.05,84.2,4.76
477,Camapua,68,BR,1566855997,16,-19.53,-54.04,87.67,7.45
478,Chimoio,20,MZ,1566855998,88,-19.11,33.48,64.4,3.29
479,Manggar,99,ID,1566856000,94,-2.88,108.27,75.07,2.73
480,Mackenzie,1,CA,1566856001,45,55.34,-123.09,62.6,4.7
481,Rochegda,95,RU,1566856002,98,62.67,43.41,50.23,6.2
482,Tahe,100,CN,1566856003,99,52.34,124.71,56.71,6.46
483,Chokurdakh,100,RU,1566856004,89,70.62,147.9,39.97,11.23
484,Okhotsk,100,RU,1566856006,95,59.36,143.24,51.67,9.84
485,Lubango,0,AO,1566856007,93,-14.92,13.49,56.53,2.01
486,Yining,70,CN,1566856008,88,29.04,114.56,73.63,1.34
487,Eufaula,75,US,1566856009,88,31.89,-85.15,82.4,5.82
488,Zhanakorgan,0,KZ,1566856010,26,43.91,67.25,72.73,12.53
489,Dali,100,CN,1566856012,86,34.79,109.94,68.05,2.01
490,Whitianga,32,NZ,1566855951,74,-36.83,175.7,55.0,7.0
491,Clearlake,1,US,1566856014,19,38.96,-122.63,104.0,6.93
492,Hokitika,4,NZ,1566856015,69,-42.72,170.96,45.73,2.13
493,Lompoc,1,US,1566856016,68,34.64,-120.46,88.0,16.11
494,Sistranda,0,NO,1566856018,60,63.73,8.83,68.0,11.41
495,Ordzhonikidze,0,UA,1566856019,74,44.96,35.36,67.15,5.32
496,Shimanovsk,100,RU,1566856020,97,52.0,127.67,58.87,8.21
497,Santona,0,ES,1566856021,100,43.44,-3.46,69.01,6.93
498,Hamina,0,FI,1566856022,88,60.57,27.2,62.6,2.24
499,Mersin,40,TR,1566856024,83,36.81,34.63,82.4,2.24
500,Madingou,98,CG,1566856025,66,-4.17,13.56,76.33,3.13
501,Glens Falls,1,US,1566856026,41,43.31,-73.64,79.0,3.36
502,Omsukchan,86,RU,1566856028,79,62.53,155.8,48.43,4.29
503,Ipoti,11,NG,1566856029,98,7.87,5.08,69.13,6.24
504,Baffa,0,PK,1566856030,77,34.44,73.22,66.43,4.68
505,Kudahuvadhoo,100,MV,1566856031,78,2.67,72.89,82.63,8.9
506,Mizque,6,BO,1566856033,24,-17.94,-65.34,70.57,15.26
507,Russell,75,US,1566856034,61,38.9,-98.86,81.0,17.22
508,Sladkovo,99,RU,1566856035,96,55.53,70.34,51.49,13.15
509,Maracaibo,75,CO,1566856036,26,3.41,-75.78,93.2,4.7
510,Snasa,19,NO,1566856037,65,64.25,12.38,57.25,4.5
511,Uthal,26,PK,1566856039,77,25.81,66.62,81.19,5.44
512,Gizo,0,IL,1566856040,74,31.8,34.94,81.0,3.36
513,Krasnodar,0,RU,1566855865,49,45.04,38.98,78.01,11.18
514,Bridlington,0,GB,1566856042,72,54.08,-0.19,71.6,2.24
515,Gainesville,75,US,1566855951,59,29.65,-82.33,93.99,9.17
516,Farafenni,100,GM,1566856044,89,13.57,-15.6,77.77,6.49
517,Pitimbu,75,BR,1566856045,78,-7.47,-34.81,77.0,11.41
518,Thunder Bay,90,CA,1566855815,82,48.41,-89.26,66.2,12.75
519,Nieuw Amsterdam,20,SR,1566856048,58,5.88,-55.08,89.6,6.93
520,Camacupa,14,AO,1566856051,34,-12.02,17.48,60.67,3.06
521,Mecca,0,SA,1566855830,46,21.43,39.83,86.05,4.09
522,Kieta,100,PG,1566856054,83,-6.22,155.63,78.67,4.29
523,Palamos,0,ES,1566856055,88,41.85,3.13,75.0,2.24
524,Lewiston,1,US,1566855844,46,44.1,-70.21,75.99,9.17
525,Kaabong,34,UG,1566856058,90,3.51,34.14,62.65,1.79
526,Flinders,75,AU,1566856059,93,-34.58,150.85,57.99,8.05
527,Changying,100,CN,1566856060,98,52.87,123.32,56.71,8.21
528,Marienburg,0,DE,1566856061,60,52.12,9.98,77.0,4.7
529,Jumla,11,NP,1566856063,92,29.28,82.18,52.03,3.11
530,Plettenberg Bay,77,ZA,1566856064,73,-34.05,23.37,52.39,8.12
531,Sukhobuzimskoye,0,RU,1566856065,93,56.5,93.28,44.6,4.5
